x,y,target
0.1,0.0,0.0
0.1,0.111,0.0
0.1,0.222,0.0
0.1,0.333,0.0
0.1,0.444,0.0
0.1,0.555,0.0
0.1,0.666,0.0
0.1,0.777,0.0
0.1,0.888,0.0
0.1,0.999,0.0
0.125,0.0,1.0
0.125,0.111,1.0
0.125,0.222,1.0
0.125,0.333,1.0
0.125,0.444,1.0
0.125,0.555,1.0
0.125,0.666,1.0
0.125,0.777,1.0
0.125,0.888,1.0
0.125,0.999,1.0
0.3,0.0,0.0
0.3,0.111,0.0
0.3,0.222,0.0
0.3,0.333,0.0
0.3,0.444,0.0
0.3,0.555,0.0
0.3,0.666,0.0
0.3,0.777,0.0
0.3,0.888,0.0
0.3,0.999,0.0
0.325,0.0,1.0
0.325,0.111,1.0
0.325,0.222,1.0
0.325,0.333,1.0
0.325,0.444,1.0
0.325,0.555,1.0
0.325,0.666,1.0
0.325,0.777,1.0
0.325,0.888,1.0
0.325,0.999,1.0
0.5,0.0,0.0
0.5,0.111,0.0
0.5,0.222,0.0
0.5,0.333,0.0
0.5,0.444,0.0
0.5,0.555,0.0
0.5,0.666,0.0
0.5,0.777,0.0
0.5,0.888,0.0
0.5,0.999,0.0
0.525,0.0,1.0
0.525,0.111,1.0
0.525,0.222,1.0
0.525,0.333,1.0
0.525,0.444,1.0
0.525,0.555,1.0
0.525,0.666,1.0
0.525,0.777,1.0
0.525,0.888,1.0
0.525,0.999,1.0
0.7,0.0,0.0
0.7,0.111,0.0
0.7,0.222,0.0
0.7,0.333,0.0
0.7,0.444,0.0
0.7,0.555,0.0
0.7,0.666,0.0
0.7,0.777,0.0
0.7,0.888,0.0
0.7,0.999,0.0
0.725,0.0,1.0
0.725,0.111,1.0
0.725,0.222,1.0
0.725,0.333,1.0
0.725,0.444,1.0
0.725,0.555,1.0
0.725,0.666,1.0
0.725,0.777,1.0
0.725,0.888,1.0
0.725,0.999,1.0
0.9,0.0,0.0
0.9,0.111,0.0
0.9,0.222,0.0
0.9,0.333,0.0
0.9,0.444,0.0
0.9,0.555,0.0
0.9,0.666,0.0
0.9,0.777,0.0
0.9,0.888,0.0
0.9,0.999,0.0
0.925,0.0,1.0
0.925,0.111,1.0
0.925,0.222,1.0
0.925,0.333,1.0
0.925,0.444,1.0
0.925,0.555,1.0
0.925,0.666,1.0
0.925,0.777,1.0
0.925,0.888,1.0
0.925,0.999,1.0
